127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000470
127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000501
127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-11-02 21:10:08, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.029646
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000560
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000534
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000425
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2014-11-02 21:10:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/default/index, HTTP/1.1, 200, 0.128768
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000412
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000353
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000486
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000387
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000377
127.0.0.1, 2014-11-02 21:10:14, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2014-11-02 21:10:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2014-11-02 21:10:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2014-11-02 21:10:21, POST, /admin/default/index, HTTP/1.1, 303, 0.044330
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/default/site, HTTP/1.1, 200, 0.062532
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000416
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2014-11-02 21:10:21, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000524
127.0.0.1, 2014-11-02 21:10:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.546478
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/default/index, HTTP/1.1, 200, 0.871957
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000456
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/jquery.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/css/calendar.css, HTTP/1.1, 200, 0.000494
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/calendar.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/web2py.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/css/web2py.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000466
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000423
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/js/share.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/images/favicon.ico, HTTP/1.1, 200, 0.001004
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/images/twitter.png, HTTP/1.1, 200, 0.000514
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/images/facebook.png, HTTP/1.1, 200, 0.000460
127.0.0.1, 2014-11-02 21:10:26, GET, /bookmark/static/images/gplus-32.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2014-11-02 21:10:34, GET, /bookmark/default/index, HTTP/1.1, 200, 0.028411
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/edit/bookmark/controllers/default.py, HTTP/1.1, 200, 0.064500
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/default/edit/bookmark/controllers/default.py, HTTP/1.1, 200, 0.060368
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000481
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000436
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000446
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2014-11-02 21:10:39, GET, /admin/static/_2.9.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000520
